Part Name,Qty,Pcs per Qty,Cost (AED),Purchase Place,Purchase Link
Breadboard,1,1,2.68,Ali Express,Link
LiPo Battery,1,1,79.11,Ali Express,Link
M3 Screw 15mm,15,10,3.69,Ali Express,Link
M3 Screw 10mm,20,10,3.36,Ali Express,Link
Jumper Wires,1,1,12.39,Ali Express,Link
Capacitors 6.3 V (1000 uF),1,20,9.7,Ali Express,Link
LED Toggle Switch,1,1,27.03,Ali Express,Link
Servo Extentions,1,15,26.42,Ali Express,Link
5V 15A Regulator,1,1,50.39,Ali Express,Link
DIN7991 M3 × 45mm Bolts,1,50,25.47,Ali Express,Link
DIN7991 M3 × 45mm Bolts,1,50,25.29,Ali Express,Link
PCA9685 Servo Driver,1,2,26.83,Ali Express,Link
Wireless Controller,1,1,42.2,Ali Express,Link
MEGA2560 R3,1,1,61.57,Ali Express,Link
MG996 Servo,18,1,16.31,Ali Express,Link
Heated inserts,4,100,16.96,Ali Express,Link
,,,,,
,,TOTAL:,429.4 AED,,
